timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,grpThreads,allThreads,Latency
1784745214675,15,GET /api/boats/1,200,OK,500 Utilisateurs simultanees 1-276,text,true,,1788,150,150,15
1784745214704,7,GET /api/articles,200,OK,500 Utilisateurs simultanees 1-207,text,true,,9312,150,150,6
1784745214702,22,GET /api/boats,200,OK,500 Utilisateurs simultanees 1-299,text,true,,17251,149,149,22
1784745214727,9,GET /api/boats/1,200,OK,500 Utilisateurs simultanees 1-274,text,true,,1788,149,149,9
1784745214736,21,GET /api/boats,200,OK,500 Utilisateurs simultanees 1-337,text,true,,17251,149,149,20
1784745214751,27,GET /api/boats,200,OK,500 Utilisateurs simultanees 1-229,text,true,,17251,149,149,26
1784745214766,26,GET /api/boats/1,200,OK,500 Utilisateurs simultanees 1-275,text,true,,1788,150,150,26
1784745214772,24,GET /api/boats/1,200,OK,500 Utilisateurs simultanees 1-226,text,true,,1788,150,150,24
1784745214778,32,GET /api/boats,200,OK,500 Utilisateurs simultanees 1-244,text,true,,17251,150,150,32
1784745214797,16,GET /api/boats/1,200,OK,500 Utilisateurs simultanees 1-327,text,true,,1788,150,150,16
1784745214853,13,GET /api/boats,200,OK,500 Utilisateurs simultanees 1-340,text,true,,17251,150,150,13
1784745214863,10,GET /api/boats,200,OK,500 Utilisateurs simultanees 1-255,text,true,,17251,150,150,10
1784745214869,12,GET /api/boats,200,OK,500 Utilisateurs simultanees 1-345,text,true,,17251,150,150,12
1784745214879,7,GET /api/articles,200,OK,500 Utilisateurs simultanees 1-314,text,true,,9312,150,150,7
1784745214875,14,GET /api/boats,200,OK,500 Utilisateurs simultanees 1-282,text,true,,17251,150,150,14
1784745214917,15,GET /api/articles,200,OK,500 Utilisateurs simultanees 1-233,text,true,,9312,151,151,15
1784745214909,36,GET /api/boats,200,OK,500 Utilisateurs simultanees 1-258,text,true,,17251,150,150,36
1784745214909,50,GET /api/boats,200,OK,500 Utilisateurs simultanees 1-338,text,true,,17251,150,150,50
1784745214953,30,GET /api/articles,200,OK,500 Utilisateurs simultanees 1-201,text,true,,9312,150,150,30
1784745214952,35,GET /api/boats/1,200,OK,500 Utilisateurs simultanees 1-335,text,true,,1788,149,149,35
1784745214930,66,GET /api/boats,200,OK,500 Utilisateurs simultanees 1-348,text,true,,17251,149,149,66
1784745214963,41,GET /api/boats/1,200,OK,500 Utilisateurs simultanees 1-319,text,true,,1788,149,149,41
1784745214999,33,GET /api/boats/1,200,OK,500 Utilisateurs simultanees 1-332,text,true,,1788,150,150,33
1784745214975,71,GET /api/boats,200,OK,500 Utilisateurs simultanees 1-257,text,true,,17251,150,150,71
1784745215008,41,GET /api/articles,200,OK,500 Utilisateurs simultanees 1-214,text,true,,9312,150,150,41
1784745215009,42,GET /api/articles,200,OK,500 Utilisateurs simultanees 1-225,text,true,,9312,149,149,42
1784745214990,73,GET /api/boats,200,OK,500 Utilisateurs simultanees 1-342,text,true,,17251,148,148,73
1784745215032,34,GET /api/articles,200,OK,500 Utilisateurs simultanees 1-237,text,true,,9312,148,148,34
1784745215078,22,GET /api/articles,200,OK,500 Utilisateurs simultanees 1-307,text,true,,9312,148,148,22
1784745215077,32,GET /api/boats/1,200,OK,500 Utilisateurs simultanees 1-323,text,true,,1788,148,148,32
1784745215064,59,GET /api/boats,200,OK,500 Utilisateurs simultanees 1-347,text,true,,17251,148,148,58
1784745215086,42,GET /api/boats/1,200,OK,500 Utilisateurs simultanees 1-322,text,true,,1788,148,148,42
1784745215124,18,GET /api/articles,200,OK,500 Utilisateurs simultanees 1-203,text,true,,9312,149,149,18
1784745215092,54,GET /api/boats,200,OK,500 Utilisateurs simultanees 1-352,text,true,,17251,148,148,54
1784745215136,18,GET /api/articles,200,OK,500 Utilisateurs simultanees 1-196,text,true,,9312,148,148,18
1784745215128,29,GET /api/boats,200,OK,500 Utilisateurs simultanees 1-295,text,true,,17251,147,147,29
1784745215153,16,GET /api/boats,200,OK,500 Utilisateurs simultanees 1-344,text,true,,17251,147,147,16
1784745215180,3,GET /api/articles,200,OK,500 Utilisateurs simultanees 1-270,text,true,,9312,147,147,3
1784745215176,16,GET /api/boats,200,OK,500 Utilisateurs simultanees 1-346,text,true,,17251,147,147,16
1784745215194,9,GET /api/boats/1,200,OK,500 Utilisateurs simultanees 1-309,text,true,,1788,147,147,9
1784745215206,4,GET /api/articles,200,OK,500 Utilisateurs simultanees 1-221,text,true,,9312,147,147,4
1784745215244,17,GET /api/boats,200,OK,500 Utilisateurs simultanees 1-310,text,true,,17251,147,147,17
1784745215245,19,GET /api/boats,200,OK,500 Utilisateurs simultanees 1-245,text,true,,17251,147,147,19
1784745215251,15,GET /api/articles,200,OK,500 Utilisateurs simultanees 1-254,text,true,,9312,147,147,15
1784745215285,9,GET /api/boats/1,200,OK,500 Utilisateurs simultanees 1-297,text,true,,1788,147,147,9
1784745215289,12,GET /api/boats/1,200,OK,500 Utilisateurs simultanees 1-293,text,true,,1788,147,147,12
1784745215293,12,GET /api/boats/1,200,OK,500 Utilisateurs simultanees 1-286,text,true,,1788,147,147,12
1784745215295,15,GET /api/boats/1,200,OK,500 Utilisateurs simultanees 1-334,text,true,,1788,147,147,15
1784745215301,26,GET /api/boats,200,OK,500 Utilisateurs simultanees 1-341,text,true,,17251,147,147,26
